id,name,address,city_id,location,desciption,time,stars,food type,price,place_type
18,Burberry,"La Rinascente, Via del Tritone, 61, 00187 Roma RM, Italy",1,41.904813351288844 12.484529115647428,"Burberry is a renowned luxury fashion brand located in La Rinascente on Via del Tritone in Rome. The store offers a wide selection of high-end clothing, accessories, and fragrances, showcasing Burberry's iconic British style and craftsmanship.",4,,,,shopping
19,Murano Max Murano Glass Rome,"Via dei Banchi Nuovi, 8, 00186 Roma RM, Italy",1,41.900616741905736 12.467311760232139,"Murano Max Murano Glass Rome is a specialized store located on Via dei Banchi Nuovi. It features a stunning collection of handcrafted Murano glass artworks, including vases, sculptures, jewelry, and decorative items, showcasing the renowned Venetian glassmaking tradition.",3,,,,shopping
20,BD-SAS,"Via Milano, 35, 00184 Roma RM, Italy",1,41.90023343583015 12.491086860188688,"BD-SAS is a boutique store located on Via Milano in Rome. It offers a curated selection of trendy and fashionable clothing, accessories, and footwear for men and women. The store focuses on contemporary styles and aims to provide a unique shopping experience for fashion-conscious individuals.",2,,,,shopping
21,Galleria Vittorio Emanuele II ," Piazza del Duomo, 20123 Milan, Italy",2,45.46616122124273 9.18985551715663,"Galleria Vittorio Emanuele II: A historic shopping mall known for its stunning architecture, located near the Duomo.",2,,,,shopping
22,Via della Spiga,"- 20121 Milan, Italy",2,45.470518753830376 9.196549191379225,"Via della Spiga: A fashionable street lined with high-end boutiques and designer stores,",4,,,,shopping
23,Via Montenapoleone," 20121 Milan, Italy",2,45.46843913825081 9.195106277894308,"Via Montenapoleone: One of the world's most famous luxury shopping streets, featuring prestigious fashion brands",4,,,,shopping
24,Corso Como ,"Corso Como, 10, 20154 Milan, Italy",2,45.48236584610254 9.1873938220679,"Corso Como: A trendy district known for its concept stores, art galleries, and designer shops.",3,,,,shopping
25,La Rinascente," Via Dante, 20123 Milan, Italy",2,45.467687936085085 9.192141331606017,"La Rinascente: A renowned department store in the heart of Milan, ",3,,,,shopping
26,Corso Buenos Aires," Corso Buenos Aires, Milan, Italy",2,45.4746375500089 9.205129506721415,Corso Buenos Aires: A bustling shopping street known for its numerous shops,5,,,,shopping
27,Brera District,"Brera, 20121 Milan, Italy",2,45.47261218046576 9.185219130890728,"Brera District: A charming neighborhood with narrow streets and boutiques selling art,",4,,,,shopping
28,10 Corso Como," Corso Como, 10, 20154 Milan, Italy",2,45.48196351297278 9.187450420213258,"10 Corso Como: A concept store featuring a curated selection of fashion, design, art",3,,,,shopping
29,Via Torino,"Via Torino, Milan, Italy",2,45.46166170137358 9.18543357788882,Via Torino: A vibrant shopping street offering a mix of popular fashion chain,3,,,,shopping
30,Corso Vittorio Emanuele II ," Corso Vittorio Emanuele II, Milan, Italy",2,45.46556934006219 9.195425850907617,Corso Vittorio Emanuele II: A bustling pedestrian street connecting Piazza del Duomo to Piazza San Babila,3,,,,shopping
31,Porta Ticinese ,"Porta Ticinese, Milan, Italy",2,45.45361417359515 9.179931892264433,"Porta Ticinese: A lively area with a mix of vintage shops, trendy boutiques,",3,,,,shopping
32,Fidenza Village ,"Via Collatina, Km 12.800, 00132 Roma RM, Italy",2,44.884301040198075 10.091142722069122,"Fidenza Village: Located outside of Milan, it's an outlet shopping destination with a wide range of designer brands offering discounted prices.",3,,,,shopping
33,Via Manzoni -,"Via Alessandro Manzoni, Milan, Italy",2,44.86356235378698 10.062982722065872," Via Manzoni: A street known for its luxury fashion houses, upscale boutiques, and flagship stores of renowned designers.",4,,,,shopping
34,Via della Moscova ,"Via della Moscova, Milan, Italy",2,45.48162190635116 9.190113540354144,"Via della Moscova: A trendy street featuring independent boutiques, vintage shops",4,,,,shopping
35,Corso di Porta Romana," Corso di Porta Romana, Milan, Italy",2,45.456459037950594 9.195278449059256," Corso di Porta Romana: A street lined with shops offering a mix of local brands, designer stores, and specialty shops.",4,,,,shopping
36,Excelsior Milano ," Galleria del Corso, 4, 20122 Milan, Italy",2,45.48640350742714 9.199295014144782,"Excelsior Milano: A luxury department store offering a curated selection of fashion, accessories, beauty, and design products.",3,,,,shopping
37,Coin Excelsior,"Piazza Cinque Giornate, 1, 20129 Milan, Italy",2,45.46726490934323 9.186248749733645,"Coin Excelsior: A department store featuring a wide range of fashion, beauty, and home products.",2,,,,shopping
38,Corso Magenta,"Corso Magenta, Milan, Italy",2,45.465866343063645 9.17317256440857,"Corso Magenta: A street known for its elegant shops, art galleries, and antique stores.",2,,,,shopping
39,Rho Fiera Milano," Strada Statale del Sempione, 28, 20017 Rho MI, Italy",2,45.51946329047666 9.085647367980371,Rho Fiera Milano: An exhibition center and shopping destination located outside of Milan,2,,,,shopping
40,CityLife Shopping District -,"Piazza Tre Torri, 20145 Milan, Italy",2,45.47835061112123 9.155451835557084,"CityLife Shopping District: A modern shopping district located in the CityLife complex. It features a mix of fashion, lifestyle",2,,,,shopping
41,Galleria Umberto I,"Via San Carlo, 80132 Napoli NA, Italy.",3,40.838668925731845  14.249484145822406,Galleria Umberto I: A stunning 19th-century shopping gallery with elegant architecture and luxury boutiques,3,,,,shopping
42,Via Toledo,"Via Toledo, Naples, Italy.",3,40.84298349997223  14.248882545806136,"Via Toledo: A vibrant shopping street known for its wide range of shops, including fashion boutiques, department stores, and local markets",5,,,,shopping
43,Via Chiaia," Via Chiaia, Naples, Italy",3,40.83649239527788  14.24559561694469,"Via Chiaia: A stylish street lined with fashion boutiques, high-end shops, and trendy cafes.",3,,,,shopping
44,Quartieri Spagnoli ," the Spanish Quarter (Quartieri Spagnoli), Naples, Italy.",3,40.8421819629226  14.246987931695205,"Quartieri Spagnoli: A lively neighborhood with a mix of traditional shops, local markets, and street vendors",3,,,,shopping
45,Via dei Mille:," Via dei Mille, Naples, Italy.",3,40.83679736670532  14.238359191865632,Via dei Mille: A popular shopping street famous for its designer stores and upscale fashion boutiques,2,,,,shopping
46,Via Scarlatti," Via Scarlatti, Naples, Italy.",3,40.84385546933535  14.230935532319945,"Via Scarlatti: A charming street offering a variety of shops, including clothing stores, shoe shops, and specialty stores",5,,,,shopping
47,La Reggia Designer Outlet,"S.S. Sannitica, 81025 Marcianise CE, Italy (near Naples).",3,41.006592213103936 14.321363645831704,La Reggia Designer Outlet: A large outlet mall featuring numerous international and Italian designer brands at discounted prices. ,3,,,,shopping
48,Galleria Borbonica,"Vico del Grottone, 4, 80132 Naples NA, Italy",3,40.83556789955186  14.246275993749508,Galleria Borbonica: A unique underground shopping complex located in the tunnels of Naples' historic Bourbon Gallery,3,,,,shopping
49,Via San Gregorio Armeno,"Via San Gregorio Armeno, Naples, Italy.",3,40.850275144264465  14.257799174645827,"Via San Gregorio Armeno: Famous for its artisanal nativity scene figurines, this narrow street is lined with shops selling traditional crafts and souvenirs",4,,,,shopping
50,Via Santa Caterina a Chiaia," Via Santa Caterina a Chiaia, Naples, Italy.",3,40.83529499717521  14.242121218804328,"Via Santa Caterina a Chiaia: A charming street known for its antique shops, art galleries, and vintage boutiques. ",3,,,,shopping
51,Via San Pasquale,"Via San Pasquale, Naples, Italy",3,40.835597535403764  14.236051172831154,"PVia San Pasquale: A street in the trendy Chiaia neighborhood featuring upscale fashion boutiques, jewelry stores, and home decor shopss,",3,,,,shopping
52,Mercato di Porta Nolana,"Via Porta Nolana, Naples, Italy.",3,40.85061448980312  14.268181817006692,"Mercato di Porta Nolana: A bustling street market offering a wide variety of fresh produce, seafood, clothing, and household items. home decor shops offering discounted prices.",4,,,,shopping
53,Mercato di Pignasecca,"Piazza Pignasecca, Naples, Italy.",3,40.84527647513718  14.248716776524251,"Mercato di Pignasecca: A vibrant street market known for its fresh fruits, vegetables, cheeses, and local delicacies.",5,,,,shopping
54,Mercato di Antignano,"Via Gabriele Jannelli, Naples, Italy.",3,40.84798652953567  14.227371318806942,"Mercato di Antignano: A local market offering a range of fresh produce, meat, fish, and household goods",5,,,,shopping
55,Il Ducale Shopping Center," Via Enrico De Nicola, 80133 Napoli NA, Italy.",3,45.31410634494728  8.882144632097923," Il Ducale Shopping Center: A modern shopping center with a mix of fashion stores, electronics shops, and dining options.",4,,,,shopping
56,Centro Commerciale Auchan Giugliano," Via Campana, 80144 Giugliano in Campania NA, Italy (near Naples).",3,40.934219776276414 14.149526659343987,"Centro Commerciale Auchan Giugliano: A large shopping mall featuring a variety of retail stores, a hypermarket, and entertainment options products.",3,,,,shopping
57,Centro Commerciale Campania," Via Santa Maria a Cubito, 81025 Marcianise CE, Italy (near Naples).",3,41.004429524105696  14.327877588174172,"Centro Commerciale Campania: One of the largest shopping centers in the region, offering a wide range of stores, restaurants, and entertainment facilities.",3,,,,shopping
58,Centro Direzionale," Via Galileo Ferraris, 80142 Naples NA, Italy.",3,40.858385900986974  14.283541876067877,"Centro Direzionale: A business district that also houses several shopping centers, including Centro Direzionale Galleria, where you can find various shops,",2,,,,shopping
59,Napoli Est,"Via Argine, 80147 Naples NA, Italy.",3,40.870928508014465  14.296402255939658,"Napoli Est: A shopping center featuring a mix of national and international retail brands, as well as restaurants and entertainment options",2,,,,shopping
60,Auchan Casamassima,"Via Ceglie, 70010 Valenzano BA, Italy (near Naples).",3,40.96763899424236  16.924605918827513,"Auchan Casamassima: A large shopping mall located near Naples, offering a wide range of stores, a hypermarket, and a cinema complex",3,,,,shopping
61,T Fondaco dei Tedeschi,"Calle del Fontego dei Tedeschi, 30124 Venice, Italy",5,45.43841509087124 12.336788710984605,"T Fondaco dei Tedeschi is a luxurious shopping center housed in a historic building near the Rialto Bridge. It offers a wide range of high-end fashion, accessories, and lifestyle products.",4,,,,shopping
62,Mercerie,"Mercerie, 30124 Venice, Italy",5,45.43982329348793 12.337896828172703,"Mercerie is a famous shopping street in Venice lined with a variety of shops, including fashion boutiques, jewelry stores, and artisanal shops.",4,,,,shopping
63,Calle Larga XXII Marzo,"Calle Larga XXII Marzo, 30124 Venice, Italy",5,45.43306166210845 12.334718337969898,"Calle Larga XXII Marzo is another popular shopping street known for its luxury brands, designer stores, and upscale boutiques.",2,,,,shopping
64,Rialto Market,"Campo della Pescheria, 30125 Venice, Italy",5,45.439768426925596 12.333705811798483,"Rialto Market is a vibrant and bustling market where you can find fresh produce, seafood, local delicacies, and souvenirs.",2,,,,shopping
65,Fondaco dei Turchi,"Calle del Fontego dei Turchi, 30135 Venice, Italy",5,45.44207165860623 12.32842839564193,"Fondaco dei Turchi is a historical building that now houses a museum and a selection of shops selling traditional Venetian crafts, textiles, and artwork.",3,,,,shopping
66,Frezzeria,"Frezzeria, 30124 Venice, Italy",5,45.43454500223021 12.335587910984284,"Frezzeria is a charming street in Venice known for its boutique shops, including fashion, accessories, and artisanal products.",5,,,,shopping
67,Salizada San MoisÌ¬,"Salizada San MoisÌ¬, 30124 Venice, Italy",5,45.43338524598484 12.336672953312787,"Salizada San MoisÌ¬ is a picturesque street lined with upscale stores, luxury boutiques, and art galleries.",5,,,,shopping
68,Via XXII Marzo,"Via XXII Marzo, 30124 Venice, Italy",5,45.136059591898636 12.085584322606302,"Via XXII Marzo is a well-known shopping street featuring international fashion brands, jewelry shops, and high-end retailers.",5,,,,shopping
69,Strada Nova,"Strada Nova, 30121 Venice, Italy",5,45.441548159584016 12.33372009564191,"Strada Nova is a lively street with an array of shops, including clothing stores, souvenir shops, and local artisan crafts.",4,,,,shopping
70,Mercato di Rialto,"Campo della Pescaria, 30125 Venice, Italy",5,45.439794083769016 12.333722957529005,"Mercato di Rialto is an iconic market in Venice, offering various goods, including fresh produce, spices, fish, and local products.",2,,,,shopping
71,Calle dei Fabbri,"Calle dei Fabbri, 30124 Venice, Italy",5,45.43542064249645 12.336791366805771,"Calle dei Fabbri is a charming street filled with boutique shops, art galleries, and unique artisanal crafts.",3,,,,shopping
72,Campo Santo Stefano,"Campo Santo Stefano, 30124 Venice, Italy",5,45.43340447672624 12.330431809134149,"Campo Santo Stefano is a lively square that hosts various markets and is surrounded by shops offering clothing, accessories, and local products.",3,,,,shopping
73,Le Mercerie del Capitello,"Le Mercerie del Capitello, 30122 Venice, Italy",5,45.43640474074816 12.337354395641528,"Le Mercerie del Capitello is a hidden gem with a selection of boutique shops, antique stores, and unique handmade items.",2,,,,shopping
74,Calle del Paradiso,"Calle del Paradiso, 30125 Venice, Italy",5,45.43749121056667 12.334330937970144,"Calle del Paradiso is a narrow alleyway known for its artisan workshops, vintage clothing stores, and local craftsmanship.",2,,,,shopping
75,Calle Larga San Marco,"Calle Larga San Marco, 30124 Venice, Italy",5,45.43534531410696 12.339490724477178,"Calle Larga San Marco is a bustling street near St. Mark's Square, offering a mix of designer boutiques, upscale shops, and souvenir stalls.",5,,,,shopping
76,Libreria Acqua Alta,"Calle Longa Santa Maria Formosa, 5176/B, 30122 Venice, Italy",5,45.43807010963985 12.342173978448717,"Libreria Acqua Alta is a unique bookstore filled with books stacked in gondolas and bathtubs, creating a whimsical shopping experience.",3,,,,shopping
77,Squero di San Trovaso,"Dorsoduro, 3052, 30123 Venice, Italy",5,45.4304219558334 12.325899324476875,Squero di San Trovaso is a traditional gondola boatyard where you can witness the craftsmanship of gondola-making and find nautical-themed souvenirs.,4,,,,shopping
78,Ba?Ì?,"Calle del Scaleter, 2888/A, 30122 Venice, Italy",5,45.43875506479433 12.329299094768464,"Ba?Ì? is a concept store offering a curated selection of unique fashion, accessories, and home decor items from emerging designers.",4,,,,shopping
79,Via Garibaldi,"Via Giuseppe Garibaldi, 30122 Venice, Italy",5,45.43246306629741 12.353157295641282,"Via Garibaldi is a lively street in the Castello district, known for its local shops, artisanal products, and charming cafes.",5,,,,shopping
80,I Tre Mercanti,"Calle dei Fabbri, 1323, 30124 Venice, Italy",5,45.436382840786166 12.339383724477264,Elegant boutique carrying gourmet Italian foods & wines & making tiramisu in many different flavors.,3,,,,shopping
81,Via de' Tornabuoni,"City center, Florence",4,43.77106432439211  11.251374096494624,Prestigious shopping street with high-end fashion boutiques.,4,,,,shopping
82,Mercato Centrale," Piazza del Mercato Centrale, Florence",4,43.77647215072686  11.25283227031003, Indoor food market with fresh produce and local delicacies.,3,,,,shopping
83,San Lorenzo Market,"Piazza San Lorenzo, Florence",4,43.77663799817249  11.252844525330863,Vibrant market for leather goods and souvenirs.,4,,,,shopping
84,Ponte Vecchio," Across the Arno River, Florence",4,43.76806443138688  11.253186411838058,Historic bridge with jewelry shops.,5,,,,shopping
85,Via del Corso,"City center, Florence",4,43.771589581133114  11.256695352315171, Popular shopping street with international brands.,5,,,,shopping
86,The Mall Firenze," Via Europa 8, Leccio Reggello, Florence",4,43.778438270344076  11.247499744563758,Luxury outlet shopping destination.,3,,,,shopping
87,Oltrarno District,"South of the Arno River, Florence",4,43.76617904140871  11.2501486086048, Bohemian neighborhood with artisan workshops and antique stores.,3,,,,shopping
88,Via dei Calzaiuoli,"City center, Florence",4,43.77166511766622  11.25532686765872,Lively street with shops and boutiques.,3,,,,shopping
89,Via Maggio,"Oltrarno District, Florence",4,43.76671893452393  11.248835009986706,Street with antique shops and art galleries.,4,,,,shopping
90,Via Roma," City center, Florence",4,43.77234497415806  11.25444982533061, Bustling street with department stores and fashion boutiques.,3,,,,shopping
91,Via del Proconsolo,"City center, Florence",4,43.77132141855673  11.257957825330573, Charming street with artisan workshops and shops.,3,,,,shopping
92,Via Strozzi,"City center, Florence",4,43.77168971227526  11.25248000998699,Prestigious street with high-fashion stores.,5,,,,shopping
93,Via della Vigna Nuova," City center, Florence",4,43.77129813956082  11.249635967658776, Street with international fashion brands and boutique shops.,4,,,,shopping
94,Via dei Benci:,"Santa Croce neighborhood, Florence",4,43.767965892550905  11.259554938822665,Lively street with trendy fashion boutiques.,5,,,,shopping
95,Via Por Santa Maria," City center, Florence",4,43.76903484307901 11.253781881150903, Pedestrian street with shops and restaurants.,4,,,,shopping
96,Via Magenta,"Near Santa Maria Novella train station, Florence",4,43.77613117879981 11.239742309987209,Street with vintage clothing stores.,2,,,,shopping
97,Via dei Serragli,"Oltrarno District, Florence",4,43.76527898971804  11.244224209986555,Street with artisan workshops and vintage shops.,2,,,,shopping
98,Via dei Servi,"City center, Florence",4,43.774916262326016  11.25862602533079,Street with shops and cafes.,3,,,,shopping
99,Officina Profumo-Farmaceutica di Santa Maria Nov20. Via Roma,"City center, Florence",4,43.772108616517286 11.254623309986988,Bustling street with department stores and fashion boutiques.,5,,,,shopping
100,Via del Proconsolo,"City center, Florence",4,43.77125943962089 11.257968554166476, Charming street with artisan workshops and shops.,2,,,,shopping
101,Via Strozzi,"City center, Florence",4,43.771658723006205  11.25248000998699, Prestigious street with high-fashion stores.,2,,,,shopping
102,Via della Vigna Nuova," City center, Florence",4,43.77132138165425  11.249635967658776, Street with international fashion brands and boutique shops.,4,,,,shopping
103,Santa Trinita Market,"Piazza Santa Trinita, Florence",4,43.77016234132639  11.251303809986902," An open-air market where you can find clothing, shoes,",3,,,,shopping
104,Porta Rossa,": Shopping street known for boutique stores and high-end fashion brands, offering a mix of clothing, accessories, and luxury items.",4,43.770399573443065  11.25368682533048,"end fashion brands, offering a mix of clothing, accessories, and luxury items.",2,,,,shopping
105,La Pergola,"Via Alberto Cadlolo, 101, 00136 Roma RM, Italy",1,41.920110744370284 12.446031690814332,"La Pergola is an exquisite fine dining restaurant located in Rome. Situated on Via Alberto Cadlolo, it offers a luxurious and elegant dining experience. The restaurant is known for its impeccable service, innovative cuisine, and breathtaking views of the city. La Pergola is a perfect choice for those seeking a memorable culinary journey in a refined setting.",,4,fine dinning,50,restaurant
106,Aroma Osteria,"Via Labicana 125 Palazzo Manfredi, 00184 Rome Italy",1,41.894336555920006 12.496274818992072,"Aroma Osteria is a charming restaurant located in Palazzo Manfredi on Via Labicana. It specializes in traditional Italian cuisine, offering a combination of classic flavors and innovative twists. With its cozy ambiance and attentive service, Aroma Osteria provides a delightful dining experience for those looking to savor authentic Italian dishes.",,3,traditional,7,restaurant
107,Roscioli,"Via dei Giubbonari, 21, 00186 Roma RM, Italy",1,41.89489285707279 12.473089476756683,"Roscioli is an award-winning fine dining restaurant situated on Via dei Giubbonari. It is renowned for its exceptional culinary creations, using the finest ingredients to deliver a gourmet experience. With its elegant atmosphere, knowledgeable staff, and a menu that combines traditional and innovative flavors, Roscioli promises an unforgettable gastronomic journey.",,5,fine dinning,50,restaurant
108,Trattoria Da Danilo,"Via Petrarca, 13, 00185 Roma RM, Italy",1,41.89736613876378 12.507873998643996,"Trattoria Da Danilo is a cozy restaurant located on Via Petrarca. It specializes in sea food dishes, offering a variety of fresh and flavorful options. While the ambiance is casual, the focus is on serving delicious sea food prepared with care. Trattoria Da Danilo is a great choice for sea food enthusiasts looking for a relaxed dining experience.",,2,sea food,22,restaurant
109,Tonnarello,"Via della Paglia, 1, 00153 Roma RM, Italy",1,41.88901683607882 12.47974200214277,"Tonnarello is a delightful restaurant located on Via della Paglia. It specializes in traditional Italian cuisine, offering a wide range of classic dishes prepared with fresh ingredients and authentic flavors. With its warm and welcoming atmosphere, Tonnarello provides a memorable dining experience for those seeking a taste of traditional Roman cuisine.",,4,traditional,5,restaurant
110,Armando al Pantheon,"Salita dei Crescenzi, 31, 00186 Roma RM, Italy",1,41.89997661533425 12.477517868587144,"Armando al Pantheon is a highly regarded restaurant situated on Salita dei Crescenzi. It specializes in traditional Roman cuisine, offering a menu that showcases the rich flavors of the region. With its cozy and rustic ambiance, attentive service, and dishes prepared with passion, Armando al Pantheon guarantees an authentic and satisfying dining experience.",,5,traditional,6,restaurant
111,Kathmandu - fast food,"Via Buonarroti, 38, 00185 Roma RM, Italy",1,41.89791985513992 12.502734773664042,"Kathmandu is a fast-food restaurant located on Via Buonarroti. It offers a diverse menu featuring a variety of fast-food options. Whether you're in the mood for burgers, sandwiches, or other quick bites, Kathmandu provides a convenient and flavorful dining experience.",,5,fast food,10,restaurant
112,Roscioli CaffíÂ Pasticceria,"Piazza Benedetto Cairoli, 16, 00186 Roma RM, Italy",1,41.895085085698095 12.478286145392767,"Roscioli CaffíÂ Pasticceria is a charming cafí© and pastry shop situated on Piazza Benedetto Cairoli. It is known for its delectable desserts, pastries, and coffee. With its inviting atmosphere and a wide selection of sweet treats, Roscioli CaffíÂ Pasticceria is the perfect place to satisfy your dessert cravings.",,3,dessert,4,restaurant
113,La Taverna dei Fori Imperiali,"Via della Madonna dei Monti, 9, 00184 Roma RM, Italy",1,41.89453422606252 12.489192080861834,"La Taverna dei Fori Imperiali is located on Via della Madonna dei Monti. It offers a cozy and traditional dining experience, specializing in Italian desserts. From classic tiramisu to a variety of sweet delights, La Taverna dei Fori Imperiali is a must-visit for dessert lovers.",,4,dessert,10,restaurant
114,Ristorante Piperno,"Monte de' Cenci, 9, 00186 Roma RM, Italy",1,41.88968021905381 12.480586630819304,"Ristorante Piperno is situated on Monte de' Cenci. It is a fine dining restaurant that focuses on providing a memorable culinary experience. With its refined ambiance and a menu that showcases the best of Italian cuisine, Ristorante Piperno offers an elegant setting for those seeking a sophisticated dining experience.",,3,fine dinning,40,restaurant
115,Five Guys,"Roma Termini, Piazza dei Cinquecento, 00187 Roma RM, Italy",1,41.9064960798235 12.50225891959091,"Five Guys is a popular fast-food chain located in Roma Termini, Piazza dei Cinquecento. It is known for its delicious burgers, fries, and milkshakes. With its casual and vibrant atmosphere, Five Guys is a go-to spot for a quick and satisfying meal.",,2,fast food,5,restaurant
116,McDonald's,Via del Tritone 57-58 - 00187 Rome,1,41.90315546021247 12.48399363277724,"McDonald's is a well-known fast-food chain situated on Via del Tritone. It offers a wide selection of fast-food options, including burgers, fries, and chicken sandwiches. McDonald's provides a convenient and familiar dining experience for those looking for a quick bite to eat.",,3,fast food,5,restaurant
117,Kilo Restaurant,"Kilo Restaurant, Via Tirso, 30, 00198 Roma RM, Italy",1,41.919289522631594 12.498208922715905,"Kilo Restaurant is a renowned sea food restaurant located in Rome. With its prime location and a wide variety of sea food dishes, Kilo Restaurant offers a delightful dining experience. From fresh catches of the day to expertly prepared sea food delicacies, this restaurant ensures high-quality ingredients and excellent flavors. The restaurant's elegant ambiance and attentive service add to the overall experience, making it a popular choice for sea food enthusiasts.",,4,sea food,15,restaurant
118,"DOC"" Cruderia EnoBistrot""","Via Pietro Manzi, 1, 00153 Roma RM, Italy",1,41.87402411516257 12.46573271074401,a top-rated fine dining restaurant situated in Rome. Known for its sophisticated atmosphere and outstanding culinary offerings,,5,fine dinning,50,restaurant
119,Im•À?•À?go,"Piazza della Trinita' Dei Monti 6, Hassler Roma Hotel - 00187 Rome",1,41.906546429658455 12.483946963483989,"Im•À?•À?go is a restaurant situated in Rome, located within the prestigious Hassler Roma Hotel. Offering traditional cuisine with a modern twist, Im•À?•À?go is known for its refined dishes and elegant presentation. The restaurant boasts breathtaking views of Rome's iconic landmarks, providing a stunning backdrop for a memorable dining experience. While the stars indicate a good rating, the true highlight of Im•À?•À?go lies in its fusion of traditional flavors and contemporary culinary techniques.",,5,traditional,4,restaurant
